,code,name
0,en,English
1,es,Español
2,fr,Français
3,it,Italiano
4,de,Deutsch
5,tr,Türkçe
6,el,ελληνικά
7,zh,普通话
8,th,ภาษาไทย
9,is,Íslenska
10,ru,Pусский
11,sv,svenska
12,ro,Română
13,ja,日本語
14,la,Latin
15,hi,हिन्दी
16,pt,Português
17,bo,
18,fa,فارسی
19,ur,اردو
20,ar,العربية
21,sa,
22,gd,
23,cs,Český
24,cn,广州话 / 廣州話
25,ko,한국어/조선말
26,no,Norsk
27,ta,தமிழ்
28,nv,
29,he,עִבְרִית
30,da,Dansk
31,nl,Nederlands
32,af,Afrikaans
33,ga,Gaeilge
34,so,Somali
35,fi,suomi
36,sw,Kiswahili
37,bg,български език
38,yi,
39,vi,Tiếng Việt
40,hu,Magyar
41,uk,Український
42,eo,Esperanto
43,am,
44,km,
45,ce,
46,pl,Polski
47,co,
48,pa,ਪੰਜਾਬੀ
49,et,Eesti
50,sq,shqip
51,sr,Srpski
52,bs,Bosanski
53,hr,Hrvatski
54,tl,
55,sh,
56,sk,Slovenčina
57,kk,қазақ
58,ml,
59,te,తెలుగు
60,cy,Cymraeg
61,hy,
62,iu,
63,wo,Wolof
64,xh,
65,ny,
66,st,
67,zu,isiZulu
68,kw,
69,si,
70,ne,
71,ps,پښتو
72,mn,
73,xx,No Language
74,gl,Galego
75,ka,ქართული
76,bn,বাংলা
77,ku,
78,mi,
79,to,
80,ca,Català
81,br,
82,dz,
83,ky,??????
84,id,Bahasa indonesia
85,bm,Bamanankan
86,sl,Slovenščina
